Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
1643.615,6167.756,1310.279,0.000,947.282,25500.352,0.000,0.000,0.000,54.842,0.000,0.000,0.000,0.000
375.965,5273.296,426.563,0.000,363.650,12059.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1779.843,17003.935,2344.996,0.000,1493.887,32701.578,0.000,0.000,0.000,38.997,0.000,0.000,0.000,0.000
0.000,1565.998,167.143,0.000,0.000,4173.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
683.595,6759.653,929.699,0.000,502.145,17712.813,0.000,0.000,0.000,32.216,0.000,0.000,0.000,0.000
0.000,0.000,440.633,0.000,113.993,40517.408,0.000,0.000,0.000,18.033,0.000,0.000,0.000,0.000
0.000,366.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,421.642,0.000,0.000,0.000,1391.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,306.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
398.018,9235.218,1029.645,0.000,614.082,25089.160,0.000,0.000,0.000,31.694,0.000,0.000,0.000,0.000
0.000,3279.481,216.296,0.000,112.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,320.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1311.697,11017.579,1293.239,0.000,827.743,33619.182,0.000,0.000,0.000,20.886,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1378.137,7140.004,496.603,0.000,375.502,0.000,0.000,0.000,0.000,15.344,0.000,0.000,0.000,0.000
0.000,1014.444,0.000,0.000,0.000,2452.854,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,268.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,289.734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1201.453,102.391,0.000,0.000,2529.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2161.830,0.000,0.000,0.000,2092.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2178.811,182.085,0.000,0.000,6129.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,3611.893,423.069,0.000,266.559,9288.555,0.000,0.000,0.000,22.630,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,92.219,1338.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,7195.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,322.936,0.000,0.000,0.000,1435.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2472.329,412.341,0.000,223.849,7745.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,421.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1155.662,0.000,0.000,155.699,7143.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
438.217,2600.750,289.175,0.000,160.280,7156.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
